name	pMAG_diversity	pMAG_rich	3-HP 4-HB pathway	3-HP bi-cycle	Ammonia oxidation	Ass_Diss sulfate reduction	Assimilatory nitrate reduction	C1 metabolism/Methanogenesis	CO-Oxidation (C1 metabolism)	Calvin Cycle	Coenzyme M biosynthesis	Denitrification	Dissimilatory nitrate reduction	Dissimilatory nitrite reduction	Dissimilatory sulfate reduction	Formaldehyde assimilation	H2 oxidation	H2 oxidation/methene metabolism	Methane oxidation	Methanogenesis	Nit_Denitr_Dissimil_nitrate_red	Nitrification	Nitrogen fixation	Reductive citrate cycle	Sulfite oxidation	Thiosulfate oxidation SOX	Urea metabolism	Wood-Ljungdahl pathway	Autotrophy	Heterotrophy	Heterotrophy_aerobic_respiration	Heterotrophy_anaerobic_respiration	Heterotrophy_fermentation	Mixotrophy_Autotrophy-Phototrophy	Mixotrophy_Heterotrophy-Autotrophy	Mixotrophy_Heterotrophy-Phototrophy	Mixotrophy_Other	None	Phototrophy	Biofilm formation - Escherichia coli	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Vibrio cholerae	Biotin Tranport	Biotin biosynthesis	Chemotaxis	Cobalamin biosynthesis	DMSP	Flagella	Pili	Quorum Sensing	Thiamine biosynthesis, prokaryotes	thiamine transporter	vitamin B12 transport	eMAG_diversity	eMAG_rich	algMAG_diversity	algMAG_rich	vMAG_diversity	vMAG_rich	site_c	water_temp_c	ph_p_h	do_mg_l_1	do_sat_saturation	conductivity_u_s_cm_1	turb_ntu	lat_sn_dd	lon_sn_dd	ele_sn_m	max_el_m	mean_el_m	sn_sp_dist_m	sn_sp_ele_m	gl_sa_km2	gl_cov_percent	gl_a_km2	chla_ug_g_1	n3_srp_ug_l_1	n4_nh4_ug_l_1	n5_no3_ug_l_1	n6_no2_ug_l_1	sba_cells_g_1
GL100_DN	6.023746201650682	999	0.20477951503074235	0.02399245210644283	0.00619804480067848	0.0424692217502427	0.02664894637825918	0.07719663363341547	0.12047079710283524	0.03111050568063558	0.00886144530616548	0.02429242964620721	0.00867518513175835	0.03535907462818256	0.00407181163507284	0.03397793940280619	6.51347891424437e-4	0	7.504154025317453e-4	0	0.03917839669265006	0.0098571818944272	0.00111140052148219	0.11013610117227102	0.01193297723707144	0.06746732907469541	0.10405529614233358	0.00235251476539256	0.01448123212303838	0.05489668539360741	0.24598837699320492	0.00115243590819932	9.839936196758426e-4	0.01499992243708126	0.5494311651578874	0.03222280891875117	0.04899541620428412	0.036684701313704	1.6326193056623962e-4	0.12067899961418364	0.17820405951035778	0.21774623300825385	0.00156355541873374	0.02342602979056741	0.13721685852127605	0.03568860513079208	0.01309662579040658	0.1881773607010584	0.02373992669472441	8.904942044559206e-5	0.05201430532392615	0.00560424679654128	0.00275414427873298	2.1272948171908905	15	2.702829378990615	24	5.239874367607356	1045	Alps	0.8109302162163288	2.2925347571405443	2.6369121732688705	4.971201224850849	5.430222437427975	2.76316950032329	44.8836	6.2926	7.851077349907323	8.227241879520413	8.058960017769417	5.8185981490847825	4.686750172980514	0.21913552991667085	-1.2729656758128873	1.6054298910365614	-5.198865231043045	0.6549259677397474	2.2925347571405443	5.178068793951861	-0.0779615414697118	15.79507428911907
GL100_UP	5.942225099569366	1003	0.19341909948328076	0.01994328913371725	0.01628000005932796	0.03871762669900478	0.0178599419176139	0.07155783230014559	0.1237014182811429	0.01963788987354872	0.00829441330044963	0.03165716084218772	0.01360702026248911	0.03232299863038128	0.00604273397341553	0.02733517337046744	0.00181152912172397	0	0.00204541338831955	0	0.06988614546393218	0.00985350465436351	3.439407774035593e-4	0.11635720070465562	0.01337776643180454	0.06709094000021049	0.09151853761939084	0.00387437515554976	0.02596413327663795	0.05080963103265457	0.18044444686556996	0.00568295275406691	0.00605626615657522	0.00759712898498918	0.6360155298600157	0.01910411628988101	0.02905430603381438	0.03909659891383268	1.7488983196236202e-4	0.1214170143849892	0.181964086040252	0.23358871100627515	9.673602141196564e-4	0.02227187151122855	0.12410862335853567	0.03404981037071584	0.01515404671082413	0.18503037306527204	0.02136399158661785	3.915788435241806e-5	0.05202144504382718	0.00485104450126054	0.00317246432172983	2.3463817637642803	14	2.8710939204203103	23	5.627263109746312	1313	Alps	0.22314355131420976	2.2905125117597764	2.6511270537025893	4.973971309724664	5.473110656921199	2.402430427963762	44.8836	6.2926	7.851077349907323	8.227241879520413	8.058643712215618	4.620058798481842	3.7256934272366524	0.2029408439966902	-1.203972804325936	1.4996230464268936	-6.1837855319603525	0.7104958188945584	2.60859812213055	5.109877128745905	-0.192371892647456	16.201556339124927
GL102_DN	5.943356090761961	1054	0.2507861397800777	0.02537743853684462	0.00541573316607836	0.04797724438117214	0.02450759270787975	0.09097491552387266	0.1137790898558677	0.02110806008095879	0.00674412744911439	0.02099515220888549	0.00817919144528138	0.03078165464880335	0.00111854649299111	0.03366324464523661	9.174939362942764e-4	0	6.03577498771114e-4	0	0.0313619508383968	0.00773106404333062	0.00135849493752328	0.10556573660439504	0.01324055719113139	0.06915626310492694	0.08181909441890048	0.0016752690092158	0.01771930351779316	0.06208843559256911	0.24173751432696547	0.00475215203534222	0.00439560680746388	0.01653655861446959	0.4267071701228047	0.08022240232739315	0.04007673748472828	0.10559601796089715	1.6810120957314178e-4	0.1253661148471486	0.17312433191011048	0.22549788832456297	0.00118266629517518	0.02677466474102558	0.11038973260322726	0.04079803701903803	0.01852397248595638	0.1857925761875033	0.02476806147186631	9.462893553909667e-5	0.05467364798626624	0.00930085918866765	0.00371281800391296	2.2698051959253585	20	2.8591155881295665	27	5.8582068522869495	1414	Alps	1.3737155789130304	2.2844211223663744	2.6369121732688705	4.977423159890142	4.635699391022914	NA	44.9356	6.3184	7.889646467940241	8.374592222817215	8.053251153549096	7.3855410486699276	6.334167333479831	0.6754922453212245	-1.4271163556401458	2.2470723830637866	-3.063719829111811	0.7443154671343447	2.561867690924129	5.311332303625531	-0.20456716574127426	16.61492827849893
GL103_DN	6.31968265632522	1187	0.23494471080959245	0.01977945509083387	0.01372702301601478	0.04578510222909428	0.02155395900579312	0.0702335906345738	0.1124350228538866	0.01482087975145836	0.01096544690278229	0.03008334703705779	0.01007335261211095	0.02607544192291883	0.0020739272129402	0.03297595785230466	0.00106883614201171	0	9.050932279910874e-4	0	0.04482375006272254	0.00904954470323104	0.00109226308256376	0.1324411209116688	0.01308356314841768	0.0567462295235028	0.08955717217071114	0.00277937902877095	0.01912776749306955	0.07344820492698548	0.25333275990057114	0.00315931783887259	0.00838418063007468	0.02819711613336516	0.4583523188504808	0.03478486063544701	0.05448847433212629	0.06652897633714036	1.9602292186681356e-4	0.12264651427817844	0.1792108621336992	0.22380030681373655	0.00168765467066176	0.0219381144470954	0.1257861363004644	0.03567698779652269	0.01630806166789765	0.18831321765774872	0.02203905280751591	2.136461567472039e-4	0.05123056849827476	0.00864843171355682	0.00250044505790045	2.22209478937322	18	2.699439927924612	25	5.859766956873905	1384	Nepal	1.7316555451583495	2.303584593327129	2.422144328051685	4.983606621708336	4.379523504455763	2.1251719103983766	28.2307	85.5628	8.36485753011254	8.933730113491452	8.640118538253535	7.357875027630733	3.417726683613366	1.7092832474038164	-1.139434283188365	2.9306026444131685	-2.8580160047516583	-0.12216763397420753	2.756205242989257	5.543222409643759	1.586169285494746	14.47169761134402
GL103_UP	6.148413282681292	1162	0.22426788403782968	0.01761080222365729	0.01451365795348679	0.05116996068599873	0.02603077967884428	0.06946255080298488	0.0973640135282498	0.02632272803834857	0.01075979694571973	0.0288768050284726	0.00987140895794964	0.02919183636362179	0.00176044892048837	0.03393587721682366	0.00311159737731331	0	9.245876195159598e-4	0	0.04437030692123912	0.01128937655091029	0.0027925834673228	0.12589801812898055	0.01157422985770816	0.04667588791096962	0.10737742463624876	0.00249166372234082	0.01511784803756915	0.05009478053505879	0.21356533469643169	0.00302137244882177	0.00902934220437443	0.1514615303506472	0.3970908051173104	0.04845717802433038	0.04840377279636835	0.06354220059608688	2.1583519300099344e-4	0.11706583392944978	0.2005090922477233	0.20599680037397816	0.0025783434653597	0.02723184145162635	0.1262559499242179	0.04212178844240507	0.01368812750514673	0.16880164573219453	0.03297367474350195	1.1947305782800878e-4	0.05465772670817376	0.00587004471807302	0.00212965770032166	2.260063505375546	19	2.731544744676648	25	5.691237264143352	1372	Nepal	-1.3862943611198906	2.302585092994046	2.503073953743449	4.962844630259907	4.45898767581001	2.0856720914304723	28.2307	85.5628	8.36485753011254	8.933730113491452	8.640118538253535	6.069582326371934	1.252762968495368	1.7092832474038164	-0.9942522733438669	2.7924680010099263	-2.7422734372714213	-0.3783364407199117	2.668616131856803	5.544630419888889	1.404870746692826	14.242602708633411
GL104_DN	6.12637567452512	1104	0.22904713244554115	0.01764355312067379	0.01186531186037416	0.04394552107205047	0.02109985243168536	0.07546791535568127	0.11658894989063966	0.01604362635867878	0.01179524681826293	0.03192620397660389	0.01203063198493411	0.02670077850590478	0.00236447311939021	0.03246261842375921	8.113127156752613e-4	0	9.78238412240984e-4	0	0.04263032394660197	0.00879028636493366	5.822422607268769e-4	0.12626430970179622	0.01485338909382549	0.06262201367482385	0.08730149819131726	0.00304566819745621	0.0194366156252831	0.07495291270444407	0.21629456020189783	0.00442906509356238	0.00385591558721783	0.02126525018231622	0.5159479393526486	0.04012840283871241	0.06017498718541593	0.04324876429075342	2.655869377481009e-4	0.1278307926147688	0.18951138531832287	0.2206074069633392	0.00163569401939204	0.02064589601597974	0.1294951739964544	0.03526302784601434	0.01750666853759799	0.1739876610775988	0.02355687876227739	2.0049159267265148e-4	0.0475875565160261	0.00934667756747346	0.00282468917208218	2.257224536230053	17	2.581951885878106	19	5.655269619839462	1081	Nepal	1.2383742310432684	2.2828924596483096	2.4475508632442313	4.983606621708336	3.8670256394974105	3.901503266492961	28.2357	85.5772	8.452227912563878	8.808742775394508	8.686598356276965	6.849596364808605	3.624340932976365	1.3800247481062953	-0.3566749439387323	1.7827989433562754	-3.893825980146786	-0.11093156070728166	3.6891294228691436	4.762772046491581	-0.3783364407199117	15.472690426761334
GL104_UP	5.87802051125997	1107	0.1994246975112612	0.02033174808961108	0.01326208089605099	0.04238172056582454	0.02051448669645259	0.09082358475723395	0.12296842952426625	0.01926881873492832	0.01152190050940609	0.03204501138841047	0.01170165026976833	0.02667880996942523	0.00226462759209683	0.03222206641604532	0.00109783136363825	0	0.00133836561427132	0	0.04387637266404269	0.00911851038340396	2.069728599051471e-4	0.11295391812920676	0.01670204020037653	0.06879902737497884	0.09250612793074194	0.00326880451226863	0.01795826449016723	0.07318485225296165	0.19407063229680388	0.00567694935656481	0.00412163852211055	0.00998409130808884	0.5741020484192044	0.01427685840134708	0.06839638185650902	0.03806243056869393	1.6585252754863818e-4	0.12338201130164288	0.19197154095540153	0.2168663348753627	0.00121180223540375	0.0214847227967538	0.12941586843118263	0.03234545017961064	0.01412534227664293	0.19191415177148097	0.0205163426291305	9.820796867153235e-5	0.04430579416256475	0.00920101315715997	0.00316141725899139	2.3449824446666168	12	2.2918343368091683	12	5.621422083329467	893	Nepal	-2.995732273553991	2.3192455338871527	2.4865719291070616	4.974662633637438	3.912023005428146	3.875861591842134	28.2357	85.5772	8.452227912563878	8.808742775394508	8.686598356276965	4.639571612705423	1.7047480922384253	1.3800247481062953	-0.34249030894677585	1.7622951275249734	-5.083090509727873	0.6856189141391537	2.643333886382519	4.8782461060505105	0.9222728035517026	14.63000849216602
GL106_DN	5.942726575950928	947	0.3069960624566735	0.02186951149294935	0.00357734462961614	0.0563880478802642	0.0199561572346884	0.07551254614317722	0.07639157322914124	0.0139743882222774	0.00968513985786683	0.0219843943314042	0.0087523871805752	0.02411086638249988	0.00514553424730459	0.03583546507608722	0.00131264874395727	0	3.019100089307172e-4	0	0.02383720488827326	0.00712192193635646	0.00234192573308061	0.12542471140834938	0.01465106878692688	0.07015224582899683	0.07094664943580817	0.00135614795935127	0.02383241083440029	0.06096542581388399	0.3497327698390759	0.00622803842500306	0.02204449323949449	0.01346164838492591	0.3176336551694558	0.02735539347146642	0.04028228469282337	0.1383695746065922	9.430552287860506e-5	0.12033492171014948	0.1714812139450557	0.2451457495402301	0.00147927222225214	0.02600833961223635	0.1123897189820287	0.04361339323620489	0.01820988666889134	0.17443682748564798	0.01988220314756728	3.314183317234129e-4	0.05321112314471538	0.0102408917531652	0.00323504022013197	2.3420318721195628	27	2.4981917578503827	33	5.62586725889257	1316	Nepal	1.3987168811184478	2.285642372263734	2.4397349311412793	4.991112627607392	4.6443908991413725	2.8597304032394746	28.1922	85.6979	8.468107983725746	8.898433910633537	8.655562860681009	6.397762641520038	4.363098624788363	3.058941786951875	-0.8915981192837835	4.0158450382279005	-2.394903308191753	0.08157998699242285	2.673458756332591	3.8567216896430567	1.0595248999600628	14.229455968580357
GL106_UP	5.801323673231572	980	0.2556835639207153	0.02171071114005707	0.00403625203120083	0.04973194795173284	0.02049184910584752	0.0919953035937867	0.08981115712248179	0.01422400083996121	0.01420358992557536	0.02863986301552331	0.01017513860135319	0.02593231273354518	0.0080886373787187	0.03377028302222708	0.00230561986206046	0	5.517918510175532e-4	0	0.03998875473799435	0.00540208596846951	7.154618658410617e-4	0.13915422292002466	0.01414239689963038	0.0659257541871288	0.05954801105738237	0.00170777850838167	0.03092394776787145	0.08447525201184465	0.31611877398554894	0.00892244938413223	0.01322725350931881	0.00736737283068735	0.3931834320704394	0.01733710282068442	0.02603590507016514	0.10227585561632142	1.3265493298616148e-4	0.1245342822177576	0.16668174613062606	0.2279487910959032	0.00128207080347617	0.02350861321250505	0.1175080606195392	0.0350580275620803	0.01606859561721082	0.2054815515507777	0.01902477092165206	4.1524292804837466e-4	0.05245145890069837	0.00769324492510756	0.00234354351461751	2.1638728662513067	22	2.484702770756408	21	5.625550670910118	1125	Nepal	-0.4307829160924542	2.2762411176544437	2.4865719291070616	4.983606621708336	4.663439094112067	2.9677457795877045	28.1922	85.6979	8.468107983725746	8.898433910633537	8.655562860681009	4.102643365036796	2.3513752571634776	3.058941786951875	-0.8209805520698303	3.949814620984652	-5.320007710460619	0.2429461786103894	3.1921210875593813	3.462606009790799	0.8219800524029137	14.149999175799651
GL109_DN	5.429104389483454	732	0.20723950444695605	0.02278252979222935	0.005297519617447	0.0458650574253535	0.01752711931476446	0.0847379221610072	0.14182382920775294	0.02652402233017223	0.00618761996419616	0.01990128859784887	0.01374693333783897	0.02680799315920426	0.01300757490711964	0.02807351399906307	5.631260718274489e-4	0	0.00115076312957369	0	0.0434427741508207	0.00749825050290957	0.00112728193990848	0.11004647490196665	0.01466141463484141	0.08265997825218058	0.07326046910476772	0.00157359606060055	0.02487454871147063	0.04868836421253701	0.18127027454105207	0.0161649290760405	0.00350041928094607	0.00773482014759626	0.6008776762367198	0.04838628999150356	0.03108636996738491	0.03728553520048768	1.3077263426135966e-4	0.1311622547609458	0.1891946887475745	0.23297243080315505	0.00138223005765329	0.01786623731084587	0.10680520239058323	0.03849225639641695	0.01880693644734599	0.17954464067582035	0.02358066557748344	6.935476792149523e-5	0.04528246353657753	0.01137088451770334	0.00346975400997319	1.723788364581352	7	2.4217479302587286	14	5.268369149258575	838	Nepal	1.6389967146756448	2.352517461742255	2.468946630209271	4.975353479951616	5.7720639820726065	2.7048283498422636	28.6391	84.0433	8.311521121014032	8.85359399691488	8.540519016719735	6.2075834834852275	4.460144413937834	0.22713557258374711	-1.4696759700589417	1.8214041901085845	-7.466284157817321	0.545227050483323	2.349468678892896	4.722152901473706	0.7861820465271346	13.686272208798986
