	GL100_DN	GL100_UP	GL102_DN	GL103_DN	GL103_UP	GL104_DN	GL104_UP	GL106_DN	GL106_UP	GL109_DN	GL109_UP	GL11_Down	GL11_UP	GL111_DN	GL114_DN	GL114_UP	GL115_DN	GL115_UP	GL116_DN	GL116_UP	GL117_DN	GL117_UP	GL119_DN	GL119_UP	GL12_Down	GL12_DownB	GL12_Up	GL121_DN	GL121_UP	GL122_DN	GL122_UP	GL124_UP	GL126_DN	GL127_UP	GL13_Down	GL13_DownB	GL13_Up	GL13_UpB	GL130_DN	GL130_UP	GL132_DN	GL132_UP	GL133_DN	GL133_UP	GL135_DN	GL135_UP	GL137_UP	GL139_DN	GL139_UP	GL14_Down	GL14_Up	GL140_1	GL140_2	GL140_3	GL140_4	GL140_5	GL140_6	GL15_Down	GL15_Up	GL16_Down	GL16_UP	GL17_Down	GL17_Up	GL22_DN	GL22_UP	GL24_DN	GL24_UP	GL26_DN	GL26_UP	GL27_DN	GL27_UP	GL28_DN	GL28_UP	GL29_DN	GL29_UP	GL30_DN	GL30_UP	GL32_Down	GL32_UP	GL34_DN	GL34_UP	GL35_DN	GL36_DN	GL36_UP	GL42_DN	GL43_DN	GL44_Down	GL44_UP	GL45_Down	GL45_UP	GL46_Down	GL46_Up	GL47_Down	GL47_Up	GL48_Down	GL48_UP	GL49_Down	GL49_UP	GL5_Up	GL50_Down	GL50_UP	GL51_DN	GL51_Up	GL52_DN	GL53_Down	GL54_DN	GL54_UP	GL56_Up	GL58_Down	GL58_Up	GL6_Down	GL61_DN	GL65_DN	GL65_UP	GL68_DN	GL7_UP	GL72_DN	GL73_DN	GL73_UP	GL74_DN	GL74_UP	GL75_DN	GL75_UP	GL77_DN	GL77_UP	GL79_UP	GL80_DN	GL80_UP	GL81_UP	GL82_DN	GL82_UP	GL85_DN	GL85_UP	GL86_DN	GL86_UP	GL88_DN	GL88_UP	GL90_DN	GL90_UP	GL91_DN	GL91_UP	GL92_DN	GL92_UP	GL93_DN	GL93_UP	GL94_DN	GL94_UP	GL95_DN	GL95_UP	GL96_UP	GL97_DN	GL97_UP	GL98_DN	GL98_UP	GL99_DN	GL99_UP
mct	14497	19043	32993	27566	22574	20729	23398	38865	34951	15687	9221	28270	31067	13786	16364	10978	11808	27326	50831	31020	15243	26226	15634	10997	10676	13835	12182	11713	18316	18694	16545	27469	8088	4502	26136	30365	23563	31631	3462	6924	8046	4316	14409	4224	5893	5361	4397	10387	7881	8835	6226	19183	11825	8260	4035	4042	4237	15432	10790	23895	29490	21711	21091	9144	11949	14161	16933	10534	18270	16396	29437	44884	18263	34520	26058	17433	18298	10199	10118	22147	9567	14694	15412	10980	36381	20873	13430	26302	19651	15865	26499	20585	22471	25356	44933	33787	32823	22744	5788	46372	35096	34553	17379	15209	17927	37484	31776	22884	27776	23079	6819	1424	43658	30385	26880	20600	45314	25315	8720	37828	20817	90470	12414	11151	22162	49622	37015	32191	25934	37373	31835	23625	19111	26026	9269	15784	31884	38031	13181	27489	19649	12829	16615	21615	18469	28898	12742	26193	26616	8667	22060	13972	28608	30991	31767	20649
meh	58118	62765	76553	56278	46383	52194	78330	66880	81896	70725	42374	62677	69081	47163	67229	44151	31649	56066	82259	85057	28880	51667	33311	22364	33946	42359	39431	28009	38766	40487	43392	50754	23398	15063	61676	71227	52871	69116	12616	20778	30688	20490	36781	18456	23688	22329	15908	25707	25557	33887	27693	68508	50545	41614	23526	23267	24561	47523	35729	39754	52473	53233	55247	36068	44558	39390	51723	28477	62556	45569	114134	79116	45024	86655	74228	95325	94927	37583	58626	58734	51111	70844	52221	49006	107244	68467	40991	78196	49446	39339	80764	57350	78262	97546	116176	88858	100733	78613	15180	102583	96525	97270	46214	84941	46937	130927	86668	96264	98573	107242	26456	36596	72912	63141	139727	47831	74899	52739	30059	73347	61604	112905	55686	45254	58745	107083	76470	82063	84135	147350	157996	127810	90878	91222	34731	65518	73224	101355	68293	111525	107313	53744	55034	88781	100118	124758	74655	86189	141505	32521	62486	49397	122181	112789	82874	58763
mer	11350	10552	14191	16213	12655	20968	21161	5251	7388	25164	17505	12860	10604	10474	12645	12672	22376	14795	10728	3656	10247	25334	17810	11526	5947	7551	7084	8585	3123	13292	9456	8632	9192	5458	20731	22353	12366	16512	5756	11262	10655	4805	7422	3869	6308	6421	12252	6730	5219	3289	2913	20419	26974	22566	20808	21041	21607	7402	6493	7852	10063	9658	8017	8053	3594	15432	5344	13064	14602	5617	15577	8295	6683	9571	10502	28215	27133	29500	6337	16988	1593	20262	29620	23305	6469	4550	14979	1929	17039	9825	6134	4684	7874	7530	6632	4500	5420	3900	17940	6534	6326	7858	7777	6010	11212	5374	1993	8278	34729	28538	6023	8134	2755	4566	22792	28919	9115	19041	5714	17424	16547	6243	6409	12232	5061	2103	15761	28548	7060	16666	9013	52056	19138	24199	14799	9394	13804	11455	17523	12397	10911	14520	21051	14297	10528	37905	8206	23428	19288	3628	30439	7937	16762	9016	26999	26677
mmoB	607	2219	368	104	208	164	676	54	101	1154	1160	0	0	328	1412	893	0	5	447	287	158	577	0	0	143	133	222	12	41	6	72	3	919	25	0	0	0	0	57	63	76	0	261	0	53	17	0	143	299	0	0	0	1	13	0	0	0	0	0	0	0	136	168	879	357	263	2304	480	937	379	436	1600	898	844	978	355	627	245	4	96	16	61	670	473	594	516	373	51	2654	1976	390	236	1079	1326	2665	2388	397	380	0	550	1169	2866	118	47	9	89	4	686	218	150	0	0	3	6	62	8	4	0	0	31	0	0	0	571	182	1	287	586	947	207	104	22	0	121	29	594	482	71	84	166	59	701	1154	138	0	79	184	156	77	1418	147	1765	126	154	263	450
mmoC	535	249	33	7	21	6	72	5	14	276	208	23	113	464	547	203	0	10	33	15	2	61	10	15	37	17	57	29	413	424	1160	24	15	67	11	18	53	52	409	3396	5382	2968	298	1955	3439	3463	7901	13	522	64	56	28	235	215	104	73	94	131	433	14	32	10	11	54	143	57	365	48	50	18	73	72	168	680	476	180	196	215	423	78	2490	228	57	212	420	179	94	362	58	124	372	845	296	315	618	492	40	73	21	124	113	75	76	111	22	59	110	59	80	126	54	38	3388	1147	814	20	76	40	44	511	7122	305	3115	94	1488	3813	56	38	166	156	1382	1372	2586	47	39	261	21	504	264	256	691	354	410	258	208	104	1744	59	1912	223	76	214	49	905	88	62
mmoX	3790	13545	3783	6018	5936	6930	11631	1920	3932	6267	5738	4206	4232	2274	8738	7226	6634	3209	4441	2581	4187	7562	7669	5941	3045	3953	3570	3952	1565	143	216	25	10008	3572	8108	9184	4280	5998	2681	1680	522	358	2985	522	283	46	24	4704	422	3094	2645	4860	9950	10197	10039	10998	10303	5915	5834	3369	3841	4515	6792	5247	2980	6344	7187	9273	7619	3121	5040	6432	4263	5856	6299	4482	1608	2979	81	2005	127	896	9393	5964	3683	16184	12106	293	10846	8019	2741	1759	6348	5190	8511	8395	2172	2189	6712	2903	5889	9352	2024	2927	5190	1539	687	6009	10670	19412	4934	22	210	343	2809	10059	3767	5471	3004	4171	1587	1418	632	6659	1622	201	5297	4945	6466	3440	1885	2105	39	4238	6012	3869	4172	3564	3395	3876	1105	3294	4399	5688	1764	1926	2299	5332	3225	4634	9099	10373	2133	3480	9304	9840
mmoY	611	2490	526	223	222	278	678	57	101	1191	1200	19	2	328	1429	893	179	137	447	287	241	597	22	106	143	133	223	16	41	35	73	3	924	25	35	55	0	0	57	63	76	0	261	0	53	17	0	168	299	0	0	391	558	254	190	200	177	0	0	8	10	158	176	1300	372	278	2309	510	939	382	449	1612	906	874	988	365	627	249	222	164	16	120	674	480	600	523	477	77	2973	1993	398	239	1089	1326	2670	2409	407	384	5	559	1181	2886	119	98	36	89	18	711	265	150	36	4	77	32	74	118	151	8	6	46	15	0	0	627	182	30	320	610	947	218	104	22	0	179	208	606	711	107	90	171	70	705	1155	140	0	101	204	218	94	1441	212	1810	131	186	332	525
mtaB	15	6	12	11	5	2	1	35	19	0	0	1	2	36	0	0	31	15	1	0	1	1	168	28	0	1	1	1	0	6	3	37	7	17	3	4	3	3	18	18	126	56	6	31	25	15	4	4	0	23	8	173	32	753	2920	3129	2822	6	8	2	4	2	1	89	13	17	4	330	58	3	9	7	1	4	3	3	17	0	26	35	0	10	12	1	2	2	19	1	5	2	2	6	8	2	3	1	2	10	5	4	2	2	526	9	9	2	4	1	2	0	0	297	7	8	0	1	2	61	214	4	39	4	2	5	1	12	19	12	14	4	65	0	8	1	3	1	8	12	13	25	1	17	22	15	0	7	81	0	2	0	2	7	1	2	14	21
mtrA	275	1331	173	733	730	457	497	121	306	511	615	252	241	35	223	267	413	595	150	197	235	894	771	680	164	143	276	31	92	1712	1870	1641	0	1	106	165	10	26	8	43	15	5	21	1	18	27	1	0	3	240	166	467	1528	1294	2316	2517	1867	662	993	116	51	125	142	58	441	247	854	25	58	118	106	829	555	704	847	194	240	634	126	420	39	175	503	121	214	1382	133	68	100	505	564	159	161	99	181	482	68	94	34	109	398	101	20	209	245	150	60	85	179	299	36	1948	2	5	173	233	5	108	188	28	102	68	140	34	104	148	285	193	320	157	112	384	953	84	30	250	165	240	208	176	95	267	336	266	591	67	41	68	223	708	138	3459	266	289	1213	1086
mtrH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	367	2576	2755	2007	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1170	33	2	0	0	515	45	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	10	101	0	0	0	0	42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	5	0	0	0	0	0	0	0
mttB	49503	39616	74994	59349	53762	58241	73006	69608	88022	48260	26857	32324	25054	30792	50371	28157	63487	41984	46998	30908	19642	48227	76294	55086	20951	28127	25744	25658	16399	14583	13019	19125	19423	22433	36281	41913	28988	40896	12472	20981	18505	7204	23956	6812	15567	13310	12834	25540	23738	54180	41394	108269	138432	110341	95680	97209	98331	50271	57072	51172	54865	33745	24707	19338	18406	42613	29144	35365	70439	34732	70810	51498	28280	49877	44066	64854	60808	16799	16413	37847	8737	25571	55734	31714	55737	19896	56962	33357	37102	30296	44217	24692	53968	59427	62412	47981	67187	43798	28905	53156	56185	56066	34713	34585	37412	38470	13207	58414	57207	59524	16168	12483	12997	14743	44746	41791	56955	70872	31658	50468	44033	21404	18509	51222	25975	25359	50939	42820	46198	39328	34510	56310	24577	20574	23814	16248	69577	73966	46186	59474	45789	47930	72232	82048	27560	49723	31238	23850	45743	19445	30374	29481	40729	58257	55529	53077
napA	20993	40079	29403	33847	28336	51985	63346	26976	17093	43862	29925	38224	38926	24083	38101	30502	22877	26474	20137	17568	12550	23925	23298	15366	23636	29911	27701	20902	12800	53215	33933	73883	19805	13468	46533	53878	26312	36226	18561	23396	24216	35984	27919	35093	25714	26765	22060	14244	18299	10169	6997	31875	25030	17959	17335	16714	17561	11993	11027	22071	25705	34116	35529	30518	26168	30796	30532	30626	36189	18950	56090	28834	28345	44548	37840	44440	37076	19636	42915	30336	39091	34783	29770	22399	54344	45735	33919	27487	53472	28436	40215	38502	34704	35650	46673	35605	42005	34080	14690	41136	46132	35025	21009	40871	35017	56060	34203	47283	51266	39337	9683	4596	47622	32850	70582	44320	51779	29270	14994	38480	37561	35938	67822	31113	31514	66821	39124	58429	35527	68764	84242	40358	55330	93601	35589	42638	28507	39135	27398	46180	37035	20958	23378	29081	27457	79541	29285	75402	68294	26896	61002	33988	41722	48964	42120	33111
napB	2274	7774	3051	5005	7118	5888	6392	2574	3923	5004	5703	4912	5211	5452	8475	9705	3741	2564	4122	2055	3322	7512	6996	2704	4169	5508	5813	3967	3258	2463	2746	3408	4611	4815	2782	3393	3028	4407	6824	4952	2851	1695	5729	1623	1872	2020	1683	4705	3112	3099	2072	3671	3025	2786	5185	4603	4837	3118	2073	3059	3452	4510	4327	8630	5673	5157	8693	8515	7371	5620	3068	6335	8446	4619	3996	3725	3257	2848	3634	2509	501	2337	3325	2550	4606	2488	5583	905	6648	4419	3667	2064	3940	3487	4349	3440	2791	2018	2712	4214	4616	3641	5494	1716	3872	1889	1038	7314	3593	3485	1150	53	1439	1947	3081	3986	3314	8709	7349	3166	3276	2229	1104	6321	2134	979	5004	4283	4537	3368	4694	847	881	3602	3285	8673	3095	2648	3254	3111	2887	2305	2227	3182	4489	3914	3595	3465	3260	8784	3803	11636	3440	2590	2779	2882
narB	12827	6548	8369	13482	30011	13531	14945	11090	12654	4277	4146	9141	6771	10797	8894	7323	26002	16510	7456	4436	14491	22532	25893	34843	7307	9201	9072	15646	9255	33638	32547	23463	6807	5771	8274	10517	6561	9809	5535	18921	31078	44668	14806	40467	33619	31639	46359	6150	9488	6126	3968	61471	24080	23286	7247	7120	6987	5440	6010	16920	11381	10892	8673	4618	5759	6838	4890	13164	19889	7078	14698	11841	4716	10702	10216	10687	14846	7883	11962	19059	7383	21029	9765	8572	8550	7611	11859	12446	14585	10319	12899	18531	16078	15388	9784	8729	15519	11368	6555	10863	8992	16035	10315	7583	11036	6868	5412	10763	5523	7957	2573	2034	16724	18849	15403	3763	42874	8287	6520	18847	12535	12219	13781	8376	10730	13874	9834	8799	9821	16554	12809	15090	8767	6126	2008	3938	8747	11789	24707	19433	30196	12805	11788	24076	23821	20315	14435	4582	16026	2784	8787	4916	22676	11069	15621	20087
narG, narZ, nxrA	167946	377054	151043	191081	188712	182340	239032	94958	176375	207325	196913	158583	176523	220455	258566	259932	195732	155780	163838	138010	145804	182909	224162	141694	133617	163545	169517	234981	186641	145760	110953	244813	310787	219846	226369	254608	157643	199006	138102	157893	126390	109339	189957	115192	109795	102436	84382	184136	120857	100557	83575	187165	244921	246789	236517	232525	233578	176389	168093	86097	120215	148745	187160	264191	235607	207786	248329	261156	230259	154451	194076	199344	211275	233674	228682	307052	337766	195930	174296	138944	70045	164195	240191	236763	153227	239226	272494	164495	256227	205804	154244	154304	238454	210048	316090	258217	210159	198836	100177	178094	240796	190891	213629	135342	153309	226572	205194	252166	365752	527702	182549	181433	91091	123576	149659	230569	147866	205068	110621	167003	152208	144122	185788	255061	151605	268947	184922	198968	242834	274750	287349	302687	302787	161295	176228	259494	144417	161122	248067	196960	273185	165916	205372	244051	308185	170314	199754	180760	148472	205820	220890	288710	241019	206242	222776	219437
narH, narY, nxrB	121517	255201	93828	123637	117883	139262	189133	65869	124314	128278	123396	92997	96670	148338	180183	208797	112360	102809	112242	74466	84872	137722	145640	88402	87991	109007	111129	161628	113988	80714	62032	143101	229368	142303	143697	163380	93265	121140	108252	115737	74534	64349	120299	70165	64907	59550	46747	118511	68969	54623	46030	130768	187315	184635	157764	157402	153715	96803	88760	64847	82082	95921	120065	177521	161495	138361	174766	206740	167745	106506	130415	139471	149763	169177	166158	221611	236098	144004	105815	90612	56540	108355	194285	164283	101702	132210	211523	88316	190631	142072	106394	101004	168485	149127	190762	153344	117575	115841	73662	109843	146236	120831	145010	85541	118705	112892	115790	171804	248410	412802	87648	100667	33533	41069	100124	154455	79896	130361	65890	103664	87855	72509	106095	183707	103269	205149	120933	141633	151668	165954	157148	211312	212506	101446	112615	175887	93765	108642	173024	134413	178335	117389	149779	183438	239625	109945	101982	111691	101475	142476	163614	205564	156341	135655	162331	161968
narI, narV	40827	75248	31407	31874	32756	32885	44451	29500	55493	57330	50987	38582	45445	64104	82169	89788	19449	37865	36219	33976	28969	37114	26570	15327	33456	42677	47289	39728	39623	33835	24616	56777	49712	44162	38645	44444	32489	41489	42471	45103	33648	31480	40185	31428	29094	30057	22242	34775	32836	17485	14676	49138	39523	43046	35739	35476	34748	28075	30216	22082	34121	36159	45315	83020	72577	42301	78498	41128	51814	51057	45235	50934	57865	58642	56216	97899	121008	66978	59941	44382	33549	56443	71723	58074	38085	69123	39792	45137	35248	40111	39115	35271	65795	62720	74656	55981	52933	50460	9319	47485	63322	42711	61191	30569	22373	51275	51664	62645	78073	116056	41147	60359	23760	28371	49185	35824	37685	34679	17297	34592	43183	34164	45440	53191	41618	69264	40004	42755	62624	75414	88471	102298	126289	39988	29861	85813	29527	34260	70884	60167	96875	38422	51499	66664	121738	56874	51696	42155	50172	61469	57693	72896	76807	52156	51431	44094
nasA	142644	126260	151940	92407	78957	101018	133920	91253	106803	109786	82706	116761	129639	121783	137580	107097	71497	112591	98087	102874	58062	103660	64007	55863	85365	108393	109173	68199	91159	154416	141266	179747	71972	35099	114864	134593	92663	128379	44142	72183	87412	68391	92581	62005	73746	69458	64447	60731	56691	73069	47601	126266	113272	93614	68972	67150	69061	66749	67145	96454	100279	171500	181445	91543	120381	90056	126569	78177	137468	100991	203794	129446	101130	164696	147273	187529	161051	74251	109978	144974	124242	157612	112332	108691	188932	212008	97377	204286	122321	103441	144638	124353	166203	204089	186331	157208	181715	142444	58761	176480	198772	191627	83919	190967	117579	230519	175772	171818	169364	184833	41264	107884	141786	139087	286209	104364	180441	114923	55724	157636	117540	137443	160244	109208	126089	212633	146525	159392	169412	233267	179903	242646	163575	230673	103671	143122	145104	160515	149141	232003	277352	121898	121470	193425	211697	278754	194764	244809	291294	108344	139634	116510	243192	183578	155251	143619
nasB	3812	283	207	332	228	409	864	107	113	93	234	183	434	323	54	86	351	313	338	416	265	156	465	246	59	86	57	496	608	456	399	331	262	608	283	299	1992	2432	408	879	811	7887	1019	7923	1652	1364	3099	113	356	68	27	3177	1664	903	396	367	337	331	1495	196	395	103	77	781	154	288	47	517	496	217	1665	227	751	4278	1796	14732	9532	6865	8074	3187	26145	6891	6425	10551	349	496	334	1150	878	597	296	388	187	170	257	228	641	511	205	619	519	143	286	459	232	386	1994	234	2844	3000	699	1724	20708	17388	7122	579	2127	1435	622	4399	10178	12574	58227	373	2100	16422	722	2162	726	2576	1784	30152	15798	2230	781	1498	227	1184	6004	3574	18040	5729	2740	1581	21561	6109	7110	2164	7999	25	2090	166	13356	4438	1011	1247
nifD	315	439	600	1374	5192	697	115	3159	925	2234	1391	189	291	167	720	1035	539	332	1927	22	286	309	519	321	373	416	941	148	152	121	78	157	33	595	88	90	64	90	160	553	578	217	56	162	486	504	278	35	12	1	9	2457	603	4620	8470	8322	7892	55	173	262	365	88	206	4141	3734	634	3627	2782	1082	902	174	1343	359	431	381	322	832	44	693	149	47	125	254	740	327	23838	777	14	211	54	685	129	1917	1062	448	321	222	79	136	737	506	237	3790	1795	581	713	532	833	172	989	17	2214	796	1042	212	13	166	3183	15011	152	1432	78	127	230	129	577	385	105	1563	1908	3183	108	555	233	63	3313	545	331	356	330	289	225	125	302	118	86	1130	151	299	7195	107	1417	192	158	162	267
nifH	7576	1964	9949	6195	14033	3576	1848	11342	2567	6334	3212	4918	5005	8247	2897	2608	8373	8936	8942	5730	5552	5103	7983	9367	2870	3766	3322	4518	5338	20561	17526	24907	2852	2647	3406	3789	3652	4748	2475	11681	12037	26664	7598	25458	18922	19786	21803	3041	8752	2272	1751	33430	11507	12251	10269	10408	9480	1225	5496	4573	6684	1823	2229	6306	7709	3717	3501	6026	4881	3370	3979	5262	2692	10424	6003	3703	4436	3435	2765	5844	8070	6887	4233	4600	7445	28418	4674	12336	3464	4107	11968	17259	8108	5846	4308	3297	5606	4671	6802	7031	3147	4643	7212	13109	18454	7745	18432	8347	7885	7330	1735	4542	13254	8426	4171	1176	3222	14832	15404	6208	16418	4392	12501	6729	15979	57129	5823	4845	4731	5065	4402	8755	5423	6370	2005	5779	9672	11675	4760	8461	13163	6368	10115	10011	3873	5955	4163	6577	5014	6423	6083	2613	9072	11994	7049	5547
nifK	318	707	57	99	70	118	55	1299	1886	139	469	354	556	480	2714	6551	0	53	63	9	40	55	234	137	605	765	1368	11	65	58	92	76	26	469	18	29	37	54	151	507	278	107	27	87	4	0	0	12	1	1	2	1091	157	3799	7945	7785	7102	39	160	15	3	57	569	4753	11822	881	13140	2303	1367	4887	212	401	406	566	562	1511	4168	24	482	79	30	72	167	338	43	23688	724	12	127	40	621	237	2096	1133	1308	466	65	79	19	260	604	58	3862	783	22	1176	1422	1323	336	2305	35	3963	393	560	184	103	65	2061	9198	41	518	9	22	96	70	627	227	221	1505	4265	4515	86	1496	278	87	7791	52	9	324	250	240	251	96	174	106	112	996	332	252	25639	218	3148	175	18	110	179
nirA	37569	28472	30824	45106	70656	44213	50447	31604	34508	21224	17467	29906	24840	26529	28186	21865	63137	38035	24969	17572	30962	45671	56110	75040	18023	23776	20968	36065	22962	110018	96826	94776	25820	24345	33026	38413	25157	36003	18465	42783	65202	96588	35389	87389	65843	61681	83945	15474	27031	23171	15391	105372	84236	68394	42751	41835	43340	22778	25102	44890	40787	29188	26342	19339	16112	29519	18140	32987	45363	22016	48947	32687	21304	39421	36750	41810	49477	37897	58392	52797	120176	52445	44512	47132	30987	19014	38714	34892	42687	52197	46171	70152	39669	40412	34221	33602	40950	35465	30688	30329	28648	35575	28566	25980	27682	18960	16941	28787	32981	31762	13318	14973	73068	57667	50799	40386	69922	36415	27759	48799	54002	41647	79087	28389	38156	64673	34475	39766	28098	39947	28231	41195	34599	29785	24720	22262	31477	35636	59401	40300	48269	41880	46002	47456	74614	51668	45534	27651	57854	12247	38894	28121	50001	35080	44714	51552
nirB	149936	130239	126666	87109	97201	96226	123928	84110	90134	102376	75271	146249	162426	108129	123216	101290	90743	114523	89135	92868	64954	92300	85081	91121	90811	114343	108079	69675	90691	161226	149696	170732	81173	47594	128381	151498	120220	164825	48262	78337	97374	115311	88258	106481	94619	87006	91760	51204	53832	93961	59394	173155	131158	114173	68143	65284	66388	86452	91653	102974	113326	162608	173732	92774	101878	89709	143047	80466	123765	92377	181017	122401	101593	159470	140407	167298	142898	84350	134895	131752	250248	164297	112992	114273	166500	186500	95272	161567	111398	92141	127165	129499	143271	162013	158624	133172	157084	131414	63758	146567	159485	165546	95188	191036	112191	196497	164117	160514	177908	215450	77011	97826	212235	182895	266650	115884	179834	125610	69442	146706	128591	189134	208944	110581	136365	247502	129155	149132	154007	209290	206025	224728	145998	198235	94746	141849	123528	160128	170678	239582	304792	129293	127680	207435	231898	270180	199823	212505	280278	112817	134150	116893	245781	196875	146618	130995
nirD	104585	134112	108093	86036	96180	92352	121027	72925	94442	80545	64395	105538	109474	77518	115196	93420	96380	87542	81329	77755	61852	105667	103960	100841	75929	95608	95318	67183	69930	133904	125035	140153	79784	41736	113969	133890	81108	111909	41503	64321	69784	76473	79087	72461	65371	62243	68478	56804	39972	66434	47830	142174	135295	121811	88480	86879	89486	86005	84685	95583	96824	141955	151669	75408	86771	83961	115234	94751	132784	78589	145532	115186	85620	136207	126892	141844	129045	56033	97243	102042	162352	109664	106716	86814	132392	134133	110122	129915	104237	95112	114721	108269	137208	152060	147096	128522	139395	113404	75750	121677	137965	152338	75052	128960	102506	138462	117839	143708	133246	197925	59269	89381	87762	94310	170311	123415	158771	118747	58675	130262	89763	118776	103257	99707	94083	164611	110095	114087	135232	173172	152395	192502	120680	138139	85312	107448	105685	125100	115997	155129	176186	89666	90708	147775	149131	170677	159695	152257	181631	94635	116580	110230	162225	134175	130236	129161
nirK	89980	175239	95801	126900	115643	142762	173191	64563	86272	89703	79051	84918	76713	71577	118926	109843	142141	90906	92405	57309	60844	128177	163176	101376	55972	71461	64717	92909	51741	87110	64253	125419	146401	78784	125319	142141	70678	96937	53777	77676	57101	81743	84332	80396	48888	49284	60897	71797	47808	45086	36572	113897	174866	156691	154905	155820	159550	75114	69761	61656	66032	91905	99533	76890	64485	110496	86409	185392	136187	60096	127384	106998	85040	115057	117933	179217	184366	147327	102473	100630	142236	94131	194453	138187	105321	123201	191266	60766	166422	115962	95068	93226	111115	105616	131113	117277	98221	85465	72147	86736	120661	105700	68655	92558	107007	90336	49046	124224	182675	257580	75862	21528	49314	55354	120210	170697	62067	104201	47684	113809	93172	53476	73022	133168	58514	48910	112203	140839	103539	148374	108381	153638	120422	122040	106008	100951	97903	110314	145285	120759	103811	88752	113814	137489	190934	137029	116519	128589	123630	59504	168691	124535	136710	121411	153546	170164
nirS	1352	8181	2076	2611	2881	2373	3018	2473	5042	5844	5172	1979	1630	3405	7463	7867	1121	1623	1565	2053	2869	4899	4088	2357	4997	6199	6926	2062	1963	1304	1138	2231	3028	2705	1526	1793	1246	1589	4396	4325	2954	1292	4389	845	1054	626	671	2691	2681	303	314	989	1331	1054	1513	1615	1631	798	1309	2257	2606	2147	2198	6076	7184	4960	10965	3067	4008	3544	2367	4861	5913	4998	4743	1404	2042	3515	1957	3133	1987	1011	4891	3711	3029	4075	4070	996	3360	4870	2379	1619	3718	3440	6448	4697	2977	2372	1335	3914	5980	2527	4900	1526	1679	2136	1355	4097	3034	5090	629	616	561	765	2888	1415	2458	3237	3493	1303	1822	576	370	3377	1598	517	3307	2894	4673	4536	5445	336	1252	2595	5576	9441	2209	1544	1758	1355	766	1128	1426	1816	2266	2821	2450	3171	3251	14003	2701	10915	1372	1777	2321	2945
norB	40290	30547	25801	23254	28467	27133	46188	24293	28660	20908	18032	18493	18744	33917	28108	27855	11005	24103	24438	13937	15080	24410	13128	7371	14239	18014	17368	20641	20960	37168	23347	60151	22216	12581	27354	31861	13498	18075	21000	31271	28109	18629	29554	16749	27205	26223	20624	13160	23580	13714	11762	38507	47224	43426	48074	49290	49005	14665	17952	8532	7507	22139	26714	23942	26456	20653	31198	30744	37501	23652	54412	34278	26250	36149	30527	65095	63413	28791	52217	31863	28788	42097	37214	30626	44567	52083	23482	26445	45514	34544	35453	31438	34707	41149	43231	42859	42402	31425	5202	38158	44139	46169	30279	55272	21209	76029	46140	47601	46147	60850	7148	9633	9656	13525	64832	22870	22573	15628	15283	29677	27896	16297	26620	25781	20100	31935	30606	39835	31149	52492	62273	44561	80442	49747	23942	43358	24644	33631	54600	73610	105379	34589	33810	69447	59961	57793	38351	51416	63711	27773	37324	28356	59777	56877	37228	32558
norC	30102	41105	25644	36118	31925	40436	58617	35305	58406	16387	15287	22219	22848	21380	26410	25155	41180	39188	32684	13723	24105	68001	44626	24203	16490	20432	19263	32620	22423	8446	10798	8860	38560	18443	38153	44061	23307	31801	16121	21319	15941	6699	29332	7319	10336	9189	8352	27931	16470	19479	13762	33835	30135	27416	25249	25211	26833	22985	22947	34138	34918	24986	31038	15641	17986	28254	28651	42591	49310	26456	48268	38618	26967	40483	43569	29819	22739	24159	30433	53992	8746	34843	43647	32809	42314	38321	52444	19436	56267	42796	29654	22218	50322	49965	41380	40126	36808	28489	33651	28268	36736	41558	26590	34887	34977	26510	17081	40227	35209	59902	17227	2268	13923	24789	65758	34040	51254	36076	14835	46123	34611	27773	5677	36979	17279	7537	35901	37834	36701	40179	40756	18427	5362	20791	20741	21355	27283	35675	44626	45111	32157	30415	39392	48074	43460	48411	35176	22264	61154	22445	31416	35696	48021	37323	49109	53843
