	GL100_DN	GL100_UP	GL102_DN	GL103_DN	GL103_UP	GL104_DN	GL104_UP	GL106_DN	GL106_UP	GL109_DN	GL109_UP	GL11_Down	GL11_UP	GL111_DN	GL114_DN	GL114_UP	GL115_DN	GL115_UP	GL116_DN	GL116_UP	GL117_DN	GL117_UP	GL119_DN	GL119_UP	GL12_Down	GL12_DownB	GL12_Up	GL121_DN	GL121_UP	GL122_DN	GL122_UP	GL124_UP	GL126_DN	GL127_UP	GL13_Down	GL13_DownB	GL13_Up	GL13_UpB	GL130_DN	GL130_UP	GL132_DN	GL132_UP	GL133_DN	GL133_UP	GL135_DN	GL135_UP	GL137_UP	GL139_DN	GL139_UP	GL14_Down	GL14_Up	GL140_1	GL140_2	GL140_3	GL140_4	GL140_5	GL140_6	GL15_Down	GL15_Up	GL16_Down	GL16_UP	GL17_Down	GL17_Up	GL22_DN	GL22_UP	GL24_DN	GL24_UP	GL26_DN	GL26_UP	GL27_DN	GL27_UP	GL28_DN	GL28_UP	GL29_DN	GL29_UP	GL30_DN	GL30_UP	GL32_Down	GL32_UP	GL34_DN	GL34_UP	GL35_DN	GL36_DN	GL36_UP	GL42_DN	GL43_DN	GL44_Down	GL44_UP	GL45_Down	GL45_UP	GL46_Down	GL46_Up	GL47_Down	GL47_Up	GL48_Down	GL48_UP	GL49_Down	GL49_UP	GL5_Up	GL50_Down	GL50_UP	GL51_DN	GL51_Up	GL52_DN	GL53_Down	GL54_DN	GL54_UP	GL56_Up	GL58_Down	GL58_Up	GL6_Down	GL61_DN	GL65_DN	GL65_UP	GL68_DN	GL7_UP	GL72_DN	GL73_DN	GL73_UP	GL74_DN	GL74_UP	GL75_DN	GL75_UP	GL77_DN	GL77_UP	GL79_UP	GL80_DN	GL80_UP	GL81_UP	GL82_DN	GL82_UP	GL85_DN	GL85_UP	GL86_DN	GL86_UP	GL88_DN	GL88_UP	GL90_DN	GL90_UP	GL91_DN	GL91_UP	GL92_DN	GL92_UP	GL93_DN	GL93_UP	GL94_DN	GL94_UP	GL95_DN	GL95_UP	GL96_UP	GL97_DN	GL97_UP	GL98_DN	GL98_UP	GL99_DN	GL99_UP
hoxH	4470	16228	7153	7466	21449	6112	10692	8848	17324	4338	3900	1541	1445	7026	8365	6649	15392	4297	4720	7968	10762	10339	12295	29425	1931	2436	2799	6828	6304	20303	22755	25609	4077	5563	4317	4725	2328	3313	3346	16134	28922	43274	6670	37972	29260	25368	42139	920	4595	1036	781	39988	20820	34062	25892	25782	25678	722	1482	2022	1744	1936	3149	8503	20032	7380	34743	8831	11825	9849	12005	13068	14007	17351	18028	11176	15139	10975	12223	8085	7741	5062	12761	7334	13753	38194	14493	11167	7257	9279	14857	14384	33663	28892	25490	20872	14580	13867	2494	11461	16516	15287	10080	4848	3387	12785	7175	12712	5788	11912	597	4905	944	1262	15732	2989	2007	6084	4794	7382	5472	3015	2794	8616	9211	7893	6147	7855	20218	18001	28576	6543	31751	8577	6244	18169	6777	4291	10214	7849	9752	5644	4775	4736	23296	13012	22321	8890	18343	32973	7187	26197	11191	6060	10122	11808
hydA	342	160	9	37	51	8	21	7	12	11	52	19	35	20	11	28	11	11	2	7	8	6	102	104	41	50	183	18	7	1	7	18	16	156	15	22	13	29	20	18	41	13	11	26	1	0	0	10	0	142	139	1471	519	4790	3693	3983	4002	239	441	3	10	7	6	931	137	105	135	751	216	16	71	29	186	129	154	290	422	405	203	103	2	228	991	333	87	1527	168	9	77	122	54	41	107	43	135	114	41	132	7	83	129	46	1507	81	13	183	127	42	867	2741	1	22	15	10	57	16	17	140	2516	742	313	10	3	35	9	173	32	59	169	171	899	196	45	85	53	101	12	49	682	348	215	415	372	569	403	90	370	55	131	162	74	74	427	69	229	451
hypB	83714	85080	68132	66032	75486	63574	90087	47772	53133	49051	38513	91329	102475	48468	53640	49704	54991	56940	48633	36856	32115	53223	54228	63969	50137	63756	56432	40110	38602	112371	94378	135638	35510	29838	104495	122249	77445	104350	32033	49201	57990	82907	46606	77344	60437	57118	73341	28291	30407	64043	48440	109112	95679	92607	69090	69552	68570	80086	65240	49703	61772	78249	88882	52245	50814	61624	72285	49418	72026	47589	84731	61080	54502	84456	77488	86667	80541	50737	71940	75954	78215	90885	84756	70955	86087	97753	61320	70256	76516	59712	86666	111681	86892	85940	93041	75946	80456	64773	37270	80447	86864	81459	51620	87800	64133	112771	101794	98306	112181	148020	42689	44954	135559	110194	125672	98323	139534	70961	51715	104435	87770	181678	96259	70552	75539	121755	78922	82134	77313	104190	120376	123073	96782	100105	56050	74522	66625	90311	100971	111540	111310	82224	89035	118063	95969	122505	77471	94726	128605	60711	83610	64585	115505	103167	92745	85709
korA, oorA, oforA	341791	405435	307636	378937	346846	392072	443212	321829	425526	318053	272262	331647	316717	314859	343995	266816	303730	391796	409144	333812	284274	406833	310902	222571	220223	277876	267447	262565	256725	434790	331044	505626	242341	246014	310309	365277	268967	362837	214900	332748	309593	350427	363237	337957	305204	297639	336944	214031	289133	252258	187603	483176	492265	512151	553642	555441	548606	307747	298755	305045	348918	269672	261860	283884	253413	302777	274714	347456	406891	249926	447695	399636	338955	409197	398662	486459	571536	423623	369053	436967	213119	380162	473148	388267	401785	270004	307293	315084	380704	330583	363640	364985	372747	377657	491850	413233	421978	373283	215005	404798	430880	378182	370427	286002	264064	347107	245960	368495	452384	499159	197867	288803	286402	318081	462147	300192	491092	364246	249334	401748	407468	388611	340883	285620	256473	279092	386071	496138	378455	545656	646665	553755	509448	364518	269376	296342	306627	401313	461341	482179	433923	361183	393250	506828	644040	526996	472402	371188	472390	205548	410990	337180	575487	432582	465656	473565
korB, oorB, oforB	293835	379590	272980	317837	288316	330991	394079	302541	395838	312135	248281	276568	261500	261576	333662	246883	260719	326061	345031	290825	249333	377033	259612	190589	182678	232236	221883	220819	213251	351209	279468	413008	200859	193229	264183	310757	223277	303138	174451	273903	249344	235122	287300	227435	239801	232357	251357	185657	229600	218396	160731	453615	433116	466051	495532	497032	489716	247853	245653	278358	309243	236349	231813	237994	238247	269139	321317	289908	357340	229497	363733	350003	291767	362521	360448	408878	469420	358742	339110	384153	201851	346377	392376	315531	376966	255695	281043	279324	321922	287887	331955	343375	366587	387291	498802	417045	388279	344544	179311	379194	418123	357620	321597	277552	239978	348721	232731	338091	381164	434756	176675	241525	249988	279168	417127	252726	449101	332491	210080	363551	368684	350591	303139	257623	225537	255057	337184	404995	348507	440409	595460	432960	334959	300691	216351	266618	272481	344665	402864	439541	409915	307379	344388	455025	512622	474817	409702	303119	427470	205633	342887	330157	496752	392980	379764	391020
korC, oorC	2800	2993	979	2488	2262	2011	3646	661	1006	770	1033	910	738	729	511	1155	1493	2128	570	597	3117	2070	4678	4188	671	896	638	847	525	5837	7725	1347	1178	3123	982	1170	657	1085	1738	4465	1063	839	728	948	122	92	70	729	183	1284	948	9824	9340	46047	59955	60652	58215	1233	1735	337	479	452	394	6036	3266	2213	1272	10312	3130	558	1959	1387	4327	2281	3380	4092	4271	3478	2520	3500	461	1893	4801	5339	1660	2224	1878	289	2123	2410	900	1498	1927	1173	1354	1226	1357	1783	664	1240	1881	1475	9863	1276	719	1519	1650	936	4004	6742	489	636	408	405	3179	1663	908	3962	11174	4155	6905	575	507	1636	906	2411	1521	2064	2453	4317	7818	2043	3169	2928	1878	1987	946	1232	7567	4231	3035	3031	4439	3852	3790	4665	7355	2812	4155	1732	6139	1944	3750	1366	5802	7547
korD, oorD	12642	41076	11517	20947	26714	20147	30308	5179	8128	10739	10996	13869	11846	7236	12710	15009	32025	19403	13198	4571	13756	24448	38235	21430	11701	14928	12683	19408	7137	10671	12261	11944	31978	17497	25577	28598	13347	18358	10474	15343	7614	8303	12221	7804	18149	17179	22176	16381	1831	7813	6185	19134	32195	61171	71137	72217	68656	12975	12757	11476	12607	14363	18083	18106	12545	19451	13931	41563	22153	6517	14703	16547	15841	20163	20702	16118	12034	11981	2713	8690	650	5262	19380	16305	9891	10002	35765	1478	28120	20204	7189	5799	14658	12587	17884	17559	7147	8193	21479	8097	14198	13525	17285	9487	20745	5588	6746	19683	31880	46915	18156	883	912	1060	9098	28306	4100	20011	18989	25731	11157	3675	1600	27014	7073	18941	16365	16655	18160	15761	15433	8467	8520	10721	15119	9975	13508	14933	18075	12782	5924	12492	16965	18301	6517	10761	10550	12446	10238	13514	20454	22126	9269	15353	24171	29334
mcl	52941	42542	37228	32688	30797	35573	53928	21621	23661	47450	29911	41513	48837	40157	38791	28987	22521	32527	33895	29171	13274	29544	24298	12539	27231	34317	32628	23307	21497	57958	48512	72635	27905	18615	53003	61012	45259	56367	11708	22057	27624	22256	27560	20120	23531	23111	18623	16162	23696	28632	23016	45389	37800	28589	21929	22182	22114	36698	33769	23497	29308	40607	44547	27927	26644	33922	31161	23204	40382	23496	69969	35791	31278	61347	52183	52711	48488	34279	45548	44110	55338	59435	47038	44369	52253	62951	34571	50323	45829	30411	48809	56255	50996	48181	57486	44513	54401	45126	17644	45242	52392	54824	27509	54178	27123	77035	56724	59686	82666	102575	19122	42188	31338	30727	117084	58627	35043	47263	19855	51666	50479	57999	89831	40609	43652	111815	47692	65014	47664	93698	113333	79272	66404	94203	33303	56732	35722	59345	67118	91672	106725	52656	55376	76248	86765	123155	63467	81005	115118	22824	68742	30982	102698	78694	52581	41444
mcr	2	6	1	2	4	4	0	2	0	9	3	18	7	283	6	25	0	2	1	8	3	4	6	6	5	4	5	15	16	10	3	0	64	36	4	2	3	2	495	4417	6098	2140	453	799	2517	2512	9596	8	495	1	0	0	1	0	0	0	0	1	1	7	6	6	4	16	2	6	0	2	2	0	0	1	5	0	0	0	0	4	0	1	0	0	0	1	0	0	9	1	10	17	14	20	3	1	0	0	0	0	5	3	0	0	4	1	3	0	0	2	3	0	0	0	0	0	0	3	0	6	3	5	1	0	1	11	0	0	4	1	4	29	406	0	1	2	12	0	0	2	0	0	0	1	1	0	0	0	2	2	1	0	3	2	0	0	3	1
mcrA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	64	2	793	1135	1311	1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	15	0	0	0	249	7	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	9	9	127	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
