Sample	Percentage
336R	49.7058815770042
337R	44.972645152005
338R	56.3398144971343
339R	39.9979754140839
340R	52.0222939555222
341R	61.4964325840656
GL100_DN	10.2605757203482
GL100_UP	10.0992719240264
GL102_DN	14.847366515636
GL102_UP	11.5833192037748
GL103_DN	19.5443485204459
GL103_UP	20.0499565134301
GL104_DN	9.72752340105378
GL104_UP	21.6820514242214
GL106_DN	17.9344148002098
GL106_UP	21.8235558300646
GL109_DN	18.7135391226954
GL109_UP	13.7175658683206
GL111_DN	9.18448773289479
GL114_DN	25.8494285219109
GL114_UP	12.4242153239855
GL115_DN	19.4565156895757
GL115_UP	13.3521642989673
GL116_DN	21.6645851546617
GL116_UP	15.9565563007568
GL117_DN	16.9790003228031
GL117_UP	22.1106034334733
GL119_DN	15.8725885456298
GL119_UP	25.7670381270664
GL11_Down	10.5717077544286
GL11_UP	7.98003370904729
GL121_DN	12.1961232249804
GL121_UP	3.74919391428617
GL122_DN	31.3819394347884
GL122_UP	33.3025020376185
GL124_DN	3.91837653840243
GL124_UP	32.8170297095535
GL126_DN	14.144551472147
GL127_UP	18.1087331612482
GL12_DownB	15.718667794807
GL12_Down	12.0738594944688
GL12_Up	15.8559233826339
GL130_DN	5.02147530652331
GL130_UP	18.4067766301705
GL132_DN	28.2629750666158
GL132_UP	35.889631617971
GL133_DN	22.2368747425834
GL133_UP	38.1640862307528
GL135_DN	36.6614610675961
GL135_UP	31.335603137092
GL137_UP	36.6891321210977
GL139_DN	4.73729983391114
GL139_UP	5.07393954459753
GL13_DownB	14.6697000239627
GL13_UpB	10.0072673193236
GL13_Up	10.1255522557669
GL140_1	49.5205022262482
GL140_2	42.5643451269128
GL140_3	40.1017155889402
GL140_4	37.8648514927685
GL140_5	39.5565775206678
GL140_6	39.7092286904559
GL14_Down	12.6712438831085
GL14_Up	15.177314745271
GL16_Down	19.3563189795749
GL16_UP	15.0423636396518
GL17_Down	17.5558465156123
GL17_Up	16.6419835038703
GL22_DN	6.27818580571256
GL22_UP	9.41556855305259
GL24_DN	8.49430576136102
GL24_UP	14.4885778506439
GL26_DN	16.1859808408439
GL26_UP	11.8832649137421
GL27_DN	8.99033598605762
GL27_UP	26.2793250248577
GL28_DN	19.1026909642458
GL28_UP	8.22245421669321
GL29_DN	17.1044560396887
GL29_UP	15.8628006004228
GL30_DN	22.1120130127494
GL30_UP	13.9456573395954
GL32_Down	17.2355713127217
GL32_UP	30.1576345292873
GL34_DN	20.3619197588196
GL34_UP	47.7184841366694
GL35_DN	20.2757461789897
GL36_DN	27.2338398081515
GL36_UP	20.0201927661808
GL42_DN	14.7900724912565
GL43_DN	15.7217190288062
GL44_Down	15.8762836506139
GL44_UP	17.8242667970176
GL45_Down	10.5613666494607
GL46_Down	15.9129522180422
GL46_Up	20.0355658807286
GL47_Down	19.8373329236118
GL47_Up	20.8664947555971
GL48_Down	12.3841714491943
GL48_UP	8.11773481059232
GL49_Down	21.4982145781213
GL49_UP	13.8221083112555
GL50_Down	12.8131052574671
GL50_UP	16.8474747591743
GL51_DN	25.4488400472274
GL51_Up	13.2906353461894
GL52_DN	18.1056562640235
GL53_Down	29.5738075911221
GL53_Up	24.0847273117341
GL54_DN	17.2590925708787
GL54_UP	20.7869393389826
GL56_Down	20.7620306790896
GL56_Up	14.3314412234924
GL58_Down	11.5535339282741
GL58_Up	23.0309953705775
GL5_Down	11.859858351793
GL5_Up	12.5871180248784
GL61_DN	21.2715490849994
GL65_DN	35.7048858361931
GL65_UP	35.1070455349604
GL68_DN	24.2088972245371
GL6_Down	16.6586561232136
GL6_UpB	14.273349656586
GL6_Up	17.5831452462005
GL72_DN	52.3256614237061
GL72_UP	51.0357559647261
GL73_DN	30.7010541867437
GL73_UP	9.18686369940406
GL74_DN	32.5486463992535
GL74_UP	36.0042305635659
GL75_DN	13.0402132130998
GL75_UP	18.6859136334955
GL77_DN	7.2926209723446
GL77_UP	14.3210334821412
GL79_DN	17.6375262572249
GL79_UP	30.665272473579
GL7_UP	22.0530157953099
GL80_DN	14.7449416319453
GL80_UP	7.31570104027375
GL81_UP	11.3966139502264
GL82_DN	27.8307318975123
GL82_UP	26.2542305479221
GL85_DN	33.3075657691195
GL85_UP	25.8279867438879
GL86_DN	19.3289387203925
GL86_UP	13.83904701299
GL88_DN	10.8080152705239
GL88_UP	15.6984038817325
GL90_DN	17.1910087811186
GL90_UP	20.5262895418325
GL91_DN	20.3029264799642
GL91_UP	24.6211546099777
GL92_DN	16.9319539177248
GL92_UP	19.0739684645784
GL93_DN	23.9844138467784
GL93_UP	39.0518414818567
GL94_DN	21.5396380572472
GL94_UP	30.58719516699
GL95_DN	16.8529431757052
GL95_UP	32.7312188349672
GL96_DN	11.8592046814932
GL96_UP	14.0934221993683
GL97_DN	20.6027119862813
GL97_UP	15.9812319558165
GL98_DN	30.1243829230697
GL98_UP	11.3605312491855
GL99_DN	19.251682320119
GL99_UP	17.454852950165
GLR10_GL11_UP_3	5.92186447180794
GLR11_GL15_UP_1	0.436049051284288
GLR12_GL15_UP_2	1.92703953304822
GLR13_GL15_UP_3	0.205819064857477
GLR17_GL16_UP_1	36.0797749336041
GLR18_GL16_UP_2	40.965901275001
GLR19_GL16_UP_3	48.1102221474427
GLR1_GL5_UP_1	25.8641122962124
GLR20_GL16_DN_1	46.2557260293796
GLR21_GL16_DN_2	63.5315917612671
GLR22_GL16_DN_3	40.8387663092613
GLR2_GL5_UP_2	18.4928601426054
GLR3_GL5_UP_3	34.1563513157273
GLR56_GL46_UP_1	19.3962014658695
